":START_ID",":END_ID"
"19","22"
"19","23"
"19","28"
"21","19"
"21","20"
"21","17"
"21","24"
"21","29"
"21","30"
"21","27"
"21","38"
"21","42"
"31","32"
"20","33"
"20","34"
"34","26"
"20","36"
"36","37"
"36","39"
"30","40"
"30","41"
"44","19"
"44","43"
"43","45"
"44","47"
"47","48"
"47","49"
"47","50"
"51","52"
"51","53"
"44","54"
"44","55"
"44","51"
"44","56"
"44","57"
"57","58"
"57","59"
"57","60"
"61","62"
"44","63"
"44","64"
"44","65"
"44","66"
"44","67"
"44","68"
"44","69"
"44","70"
"47","71"
"47","72"
"73","74"
"74","77"
"77","76"
"74","75"
"75","78"
"75","79"
"73","94"
"73","19"
"73","31"
"73","61"
"73","81"
"73","80"
"73","82"
"82","83"
"82","84"
"82","85"
"82","86"
"73","87"
"87","88"
"87","89"
"87","90"
"21","35"
"47","91"
"44","61"
"44","18"
"44","25"
"44","46"
"21","18"
"21","31"
"21","46"
"21","25"
"92","94"
"92","93"
"93","96"
"96","95"
"92","31"
